"filename", "language", "JavaScript JSX", "CSS", "comment", "blank", "total"
"/Users/rel001/Documents/GitHub/rel_sys_react/src/components/select_tree/input.css", "CSS", 0, 13, 0, 0, 13
"/Users/rel001/Documents/GitHub/rel_sys_react/src/components/select_tree/input.jsx", "JavaScript JSX", 9, 0, 0, 0, 9
"/Users/rel001/Documents/GitHub/rel_sys_react/src/components/select_tree/select.css", "CSS", 0, 23, 0, 2, 25
"/Users/rel001/Documents/GitHub/rel_sys_react/src/components/select_tree/select.jsx", "JavaScript JSX", 32, 0, 0, 1, 33
"/Users/rel001/Documents/GitHub/rel_sys_react/src/components/select_tree/select_tree.css", "CSS", 0, 3, 0, 0, 3
"/Users/rel001/Documents/GitHub/rel_sys_react/src/components/select_tree/select_tree.jsx", "JavaScript JSX", 51, 0, 2, 8, 61
"Total", "-", 92, 39, 2, 11, 144
