"filename", "language", "JavaScript JSX", "CSS", "comment", "blank", "total"
"/Users/rel001/Documents/GitHub/rel_sys_react/src/components/select_tree/input.css", "CSS", 0, 14, 0, 0, 14
"/Users/rel001/Documents/GitHub/rel_sys_react/src/components/select_tree/input.jsx", "JavaScript JSX", 9, 0, 0, 0, 9
"/Users/rel001/Documents/GitHub/rel_sys_react/src/components/select_tree/line.jsx", "JavaScript JSX", 31, 0, 0, 3, 34
"/Users/rel001/Documents/GitHub/rel_sys_react/src/components/select_tree/select.css", "CSS", 0, 24, 0, 2, 26
"/Users/rel001/Documents/GitHub/rel_sys_react/src/components/select_tree/select.jsx", "JavaScript JSX", 32, 0, 0, 1, 33
"/Users/rel001/Documents/GitHub/rel_sys_react/src/components/select_tree/select_tree.css", "CSS", 0, 3, 0, 0, 3
"/Users/rel001/Documents/GitHub/rel_sys_react/src/components/select_tree/select_tree.jsx", "JavaScript JSX", 127, 0, 3, 15, 145
"Total", "-", 199, 41, 3, 21, 264
